,Keywords,confidence,Date Start,Description of measure implemented,Implementing State/Province,Country,Source
0,international traveller screening - risk countries,,2020-12-02,,,Afghanistan,"Ministry of Health (Government, https://moph.gov.af/en/moph-held-emergency-meeting-international-health-partners-fight-against-spread-and-control-covid-19"
1,coronavirus education activities,,2020-12-02,,,Afghanistan,"Ministry of Health (Government, https://moph.gov.af/en/moph-held-emergency-meeting-international-health-partners-fight-against-spread-and-control-covid-19"
4,international travel ban - risk countries,,2020-02-24,Closure of borders with Iran,,Afghanistan,"Guardian (Media, https://www.theguardian.com/global-development/2020/feb/26/coronavirus-in-a-war-zone-afghanistan-braces-for-outbreak-after-first-case"
5,hospital specialisation - partial,,2020-01-03,,,Afghanistan,"OCHA 12/03/2020 (UN, https://reliefweb.int/sites/reliefweb.int/files/resources/20200312-sitrep-covid-19.pdf"
14,domestic travel limitation,,2020-10-03,People who have traveled to WHO high-risk regions for COVID-19 in the past 14 days,,Albania,"US Embassy  (Government, https://al.usembassy.gov/updates_covid19/"
16,economic stimulus,,2020-12-03,Stopped loan payments for 3 months (until 31.5.2020 as officially ordered on 17.3.2020) for all albanians ,,Albania,"BalkanInSight (Media, https://balkaninsight.com/2020/03/12/albania-close-factories-impose-curfew-in-war-against-new-coronavirus/"
17,coronavirus education activities,,2020-11-03,,,Albania,"US Embassy  (Government, https://al.usembassy.gov/u-s-citizen-services/additional-resources/covid-19-information/"
18,international traveller screening - risk countries,,2020-03-19,All suspected cases at Mother Teresa International Airport and the seaports of Vlore and Durres are evaluated onsite.,,Albania,"US embassy of Albania  (Government, https://al.usembassy.gov/updates_covid19/"
19,hospital specialisation - partial,,2020-03-19,Train additional 3000 nurses and doctors to respond to COVID-19 and increased the number of medical personnel at all ports of entries,,Albania,"Albania Ministry of Health ""MSHMS"" (Government, https://shendetesia.gov.al/31380-2/"
20,hospital specialisation - partial,,2020-03-20,Create safe sanitary areas for non COVID-19 patients to be treated and Emergency/surgical interventions transferred to the University Trauma Hospital ,,Albania,"Albania Ministry of Health ""MSHMS"" (Government, https://shendetesia.gov.al/31380-2/"
21,international travel ban - risk countries,,2020-03-14,"Land borders: Montenegro (March 16, 2020), Kosovo (March 14, 2020) ""except citizens of Kosovo and Albania"" and Macedonia (March 16, 2020)// ALL Borders: Greece (10p.m March 15, 2020)""except commercial trade""",,Albania,"US Embassy of Albania  (Government, https://al.usembassy.gov/u-s-citizen-services/additional-resources/covid-19-information/"
24,international travel ban - risk countries,,2020-03-23,No ferries to and from Italy until april 3,,Albania,"International SOS (Other organisations, https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening#MYS"
26,economic stimulus,,2020-03-22,"Traders in food and medicines for unacceptable price rises and up to 10 million leks (83,000 euros) fines, if do not respect safety rules designed to combat infections",,Albania,"BalkaninSight (Media, https://balkaninsight.com/2020/03/16/albania-mounts-millionaire-fines-against-covid-19/"
27,hospital specialisation - partial,,2020-03-22,"Private hospitals that refuse to offer their capacities when required can be fined by up to 5 million leks (40,000 euros).",,Albania,"BalkaninSight (Media, https://balkaninsight.com/2020/03/16/albania-mounts-millionaire-fines-against-covid-19/"
28,risk communication,,2020-03-22,"The highest fines, up to 10 million leks (83,000 euros), can be imposed on entities that trade in food or medicine without respecting safety rules designed to combat infections.",,Albania,"BalkaninSight (Media, https://balkaninsight.com/2020/03/16/albania-mounts-millionaire-fines-against-covid-19/"
29,"domestic travel limitation, domestic traveller quarantine, domestic travel ban",,2020-03-16,vehicle movement restrictions,Tirana and Durres,Albania,"US Embassy  (Government, https://al.usembassy.gov/updates_covid19/"
30,coronavirus education activities,,2020-05-03,,,Algeria,"xinhuanet (Media, http://www.xinhuanet.com/english/2020-03/05/c_138844004.htm"
34,limited nonessential business closure,,2020-03-20,"Banned all types of gatherings (including all houses of worhsip) until April 5, 2020",,Algeria,"US embassy of Algeria (Government, https://dz.usembassy.gov/covid-19-information/"
35,international travel ban - risk countries,,2020-03-17,All land borders.,,Algeria,"US embassy of Algeria (Government, https://dz.usembassy.gov/covid-19-information/"
37,coronavirus education activities,,2020-03-20,Programs to disinfect mass transit and public areas,,Algeria,"US embassy of Algeria (Government, https://dz.usembassy.gov/covid-19-information/"
39,international travel ban - risk countries,,2020-03-17,All neighboring land countries ,,Algeria,"US Embassy Algeria (Government, https://dz.usembassy.gov/covid-19-information/"
40,"domestic travel limitation, domestic traveller quarantine, domestic travel ban",,2020-03-22,all domestic flights ,,Algeria,"US Embassy Algeria (Government, https://dz.usembassy.gov/covid-19-information/"
41,blanket curfew - no symptoms,,2020-03-23,Bilda (complete confinement - all movement in and out is prohibited) and Algiers ,,Algeria,"Gardaworld (Other organisations, https://www.garda.com/crisis24/news-alerts/325896/algeria-government-implements-lockdown-and-curfew-in-blida-and-algiers-march-23-update-7"
42,blanket curfew - no symptoms,,2020-03-23,Bilda and Algiers from 7 pm to 7 am.,,Algeria,"Gardaworld (Other organisations, https://www.garda.com/crisis24/news-alerts/325896/algeria-government-implements-lockdown-and-curfew-in-blida-and-algiers-march-23-update-7"
43,international traveller screening - risk countries,,2020-03-03,"China, South Korea, Iran, and Italy",,Angola,"US Embassy  (Government, https://ao.usembassy.gov/covid-19-information/"
45,coronavirus education activities,,2020-11-03,"The National Molecular Biology Laboratory, installed in Luanda, more than three years ago, was authorized by the World Health Organization (WHO) to carry out tests on the new Coronavirus (Covid-19)",,Angola,"All Africa (Media, https://allafrica.com/stories/202003100459.html"
47,international travel ban - risk countries,,2020-04-03,"individuals who have transited through China, Hong Kong, Macao, South Korea, Iran, and Italy, will be prohibited from entering the country due to the ongoing coronavirus (COVID-19) outbreak.",,Angola,"GardaWorld (Other organisations, https://www.garda.com/crisis24/news-alerts/324512/angola-authorities-suspend-international-flights-as-of-march-20-update-4"
48,international travel ban - risk countries,,2020-01-03,"Authorities are temporarily banning citizens of China, South Korea, Italy, Iran, Nigeria, Egypt, and Algeria from entering Angola who have travelled directly from those countries; the restriction does not apply to those traveling via a third country.",,Angola,"GardaWorld (Other organisations, https://www.garda.com/crisis24/news-alerts/324512/angola-authorities-suspend-international-flights-as-of-march-20-update-5"
52,risk communication,,2020-03-22,"The Minister of Health, Sílvia Lutucuta, advised employers to allow their domestic workers to stay indoors as a way to prevent the spread of Covid-19 among Angolans.",,Angola,"ANGOP (Media, http://www.angop.ao/angola/en_us/noticias/saude/2020/2/12/COVID-National-Overview,00adfc6e-c90b-4dac-8485-23ab8f05015f.html"
53,coronavirus education activities,,2020-03-22,"The Provincial Youth Council in Namibe carried out an intense public awareness campaign on methods of disease prevention, during which, young associates distributed pamphlets with statements about the pandemic and ways of prevention.",Namibe,Angola,"All Africa (Media, http://www.angop.ao/angola/en_us/noticias/saude/2020/2/12/COVID-National-Overview,00adfc6e-c90b-4dac-8485-23ab8f05015f.html"
54,coronavirus education activities,,2020-03-22,"The sale of dried game meat, on the informal market in Luena city, has been banned since Saturday, the 21st, as part of the implementation of measures to prevent infection by the new coronavirus (Covid - 19).",Luena City,Angola,"ANGOP (Media, http://www.angop.ao/angola/en_us/noticias/saude/2020/2/12/COVID-National-Overview,00adfc6e-c90b-4dac-8485-23ab8f05015f.html"
55,coronavirus education activities,,2020-03-13,Sanitation and hygiene recommendations,,Antigua and Barbuda,"Prime Minister's Statement (Government, https://ab.gov.ag/media_page.php?page=227"
57,coronavirus education activities,,2020-03-03,"Members of the Antigua and Barbuda Hotels and Tourist Association met with officials from the Ministry of Health, the Antigua Workers Unions and the Ministry of Tourism to educate about COVID 19 action plan",,Antigua and Barbuda,"Press Release, Antigua & Barbuda Government (Government, https://ab.gov.ag/media_page.php?page=225"
60,economic stimulus,,2020-03-16,"Calls made to COVID Hotline 463-6843 will not incur charges from inet home, mobile and",,Antigua and Barbuda,"Antigua & Barbuda Government  (Government, https://ab.gov.ag/pdf/APUA_COVID-19.pdf"
62,international travel ban - risk countries,,2020-11-03,For long term ,,Argentina,"Ministry of Foreign Affairs - Francce (Government, https://www.diplomatie.gouv.fr/fr/conseils-aux-voyageurs/conseils-par-pays-destination/argentine/#"
65,international travel ban - risk countries,,2020-03-15,"For non-residents and travellers from the Schengen Area, UK, US, Iran, China, Japan and South Corea",,Argentina,"Ministry of Foreign Affairs - France (Government, https://www.diplomatie.gouv.fr/fr/conseils-aux-voyageurs/conseils-par-pays-destination/argentine/"
66,"domestic travel limitation, domestic traveller quarantine, domestic travel ban",,2020-03-19,"Restriction on intercity domestic buses, trains, and flights through Wednesday, March 25",,Argentina,"Ministry of Foreign Affairs - US (Government, https://ar.usembassy.gov/covid-19/"
67,limited nonessential business closure,,2020-03-16,All relevant public services transfered online.,,Argentina,"Ministry of Health — Argentina (Government, https://www.argentina.gob.ar/coronavirus/medidas-gobierno"
68,economic stimulus,,2020-03-16,Social protection plan to ensure alimentation and health for all,,Argentina,"Ministry of Health — Argentina (Government, https://www.argentina.gob.ar/coronavirus/medidas-gobierno"
69,economic stimulus,,2020-03-17,Plan of investment to protect employment and the economy,,Argentina,"Ministry of Health — Argentina (Government, https://www.argentina.gob.ar/coronavirus/medidas-gobierno"
70,hospital specialisation - partial,,2020-03-18,Construction of 8 temporary hospitals,,Argentina,"Ministry of Health — Argentina (Government, https://www.argentina.gob.ar/coronavirus/medidas-gobierno"
71,blanket curfew - no symptoms,,2020-03-19,"Until 31st of March included, travels are restricted excepted for valid reasons and population is forced to quarantine. Limited quarantine exemptions include movement to obtain food and medical care and travel to the international airport for ticketed passengers only. Enforced by the police. ",,Argentina,"Ministry of Health — Argentina (Government, https://www.argentina.gob.ar/coronavirus/medidas-gobierno"
72,coronavirus education activities,,2020-02-17,Campaign for argentinians abroad,,Argentina,"Ministry of Health — Argentina (Government, https://www.argentina.gob.ar/coronavirus/medidas-gobierno"
73,economic stimulus,,2020-03-20,Price control on basic goods and food for 30 days.,,Argentina,"Government — Argentina (Government, https://www.argentina.gob.ar/coronavirus/medidas-gobierno"
74,economic stimulus,,2020-03-23,One-time payment of 10.000 AR$ to the unemployed and precarious workers.  ,,Argentina,"Government — Argentina (Government, https://www.argentina.gob.ar/coronavirus/medidas-gobierno"
75,state of emergency,,2020-03-19,National state of emergency declared.,,Argentina,"US Embassy (Government, https://ar.usembassy.gov/covid-19/"
77,international traveller screening - risk countries,,2020-10-03,New arrivals also fill out information forms,,Armenia,"Government of the Republic of Armenia (Government, https://www.gov.am/en/news/item/9722/"
78,international travel ban - risk countries,,2020-02-24,iran for 2 weeks,,Armenia,"US Embassy  (Government, https://am.usembassy.gov/u-s-citizen-services/covid-19-information/"
79,international travel ban - risk countries,,2020-11-03,"Iran, China",,Armenia,"IATA (Other organisations, https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm"
80,international travel ban - risk countries,,2020-03-14,"Georgia, two weeks closure (likely extended) *citizens may return to respected countries and some cargo permitted to cross ",,Armenia,"US Embassy  (Government, https://am.usembassy.gov/u-s-citizen-services/covid-19-information/"
81,coronavirus education activities,,2020-01-31,,,Armenia,"Government of the Republic of Armenia (Government, https://www.gov.am/en/news/item/9668/"
84,state of emergency,,2020-03-16,for 30 days,,Armenia,"US Embassy of Armenia (Government, https://am.usembassy.gov/u-s-citizen-services/covid-19-information/"
87,international travel ban - risk countries,,2020-03-16,suspended entry into the country arriving from areas with high risk of COVID-19 infections ,,Armenia,"US Embassy of Armenia (Government, https://am.usembassy.gov/u-s-citizen-services/covid-19-information/"
88,international traveller screening - risk countries,,2020-03-16,symptoms checks and health questionnaires for all travelers permitted to enter the country.,,Armenia,"US Embassy of Armenia (Government, https://am.usembassy.gov/u-s-citizen-services/covid-19-information/"
89,international travel ban - risk countries,,2020-03-16,Iran *exceptions: citizens of these respective nations are permitted to return and some cargo deliveries may cross the borders ,,Armenia,"US Embassy of Armenia  (Government, https://am.usembassy.gov/u-s-citizen-services/covid-19-information/"
90,international travel ban - risk countries,,2020-03-23,"citizens of Australia, Canada, China, EU member states, Georgia, Iran, Israel, Japan, Norway, Russia, South Korea, Switzerland, Turkey, the UK and the US will not be permitted to enter Armenia. * Except: Armenian nationals and their family members, Permanent residents, Foreign diplomatic staff and assignees of intergovernmental organizations, as well as their family members. Armenian citizens and foreigners are allowed to depart by air only.",,Armenia,"International SOS (Other organisations, https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening#MYS"
91,international travel ban - risk countries,,2020-03-23,Visa-free entry for Chinese and Iranian nationals has been suspended.,,Armenia,"International SOS (Other organisations, https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening#MYS"
93,international travel ban - risk countries,,2020-03-23,land borders with Iran and Georgia (until 16th of April 2020),,Armenia,"International SOS (Other organisations, https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening#MYS"
94,international travel ban - risk countries,,2020-01-03,"Citizens from China, Italy, South Korea, Iran, Cruise Ship are not allowed to enter country for 14 days from when they left said country. ",,Australia,"IATA (Other organisations, https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm"
97,economic stimulus,,2020-01-03,Implementation of an economic response to the coronavirus totalling $17.6 billion across the forward estimates. ,,Australia,"Department of Health (Government, https://www.health.gov.au/news/health-alerts/novel-coronavirus-2019-ncov-health-alert#current-status"
98,hospital specialisation - partial,,2020-12-03,Additional masks and funding,,Australia,"Department of Health (Government, https://www.health.gov.au/news/health-alerts/novel-coronavirus-2019-ncov-health-alert#current-status"
100,coronavirus education activities,,2020-03-17,Subscription service available for COVID-19 newsletter for GPs,,Australia,"Ministry of Health (Government, https://www.health.gov.au/news/subscription-service-for-covid-19-newsletter-for-gps-now-available"
101,coronavirus education activities,,2020-03-20,A national campaign has launched to inform all Australians about the coronavirus (COVID-19).,,Australia,"Ministry of Health (Government, https://www.health.gov.au/news/subscription-service-for-covid-19-newsletter-for-gps-now-available"
102,economic stimulus,,2020-03-20,"Additional funding of $444.6 million to strengthen the aged care industry, with specific mechanisms to reinforce the aged care workforce.",,Australia,"Ministry of Health (Government, https://www.health.gov.au/ministers/senator-the-hon-richard-colbeck/media/measures-to-support-senior-australians-and-those-who-care-for-them"
104,international travel ban - risk countries,,2020-03-20,"From 9pm AEDT 20 March 2020, our borders are closed except for Australian citizens, residents and immediate family members. Arrivals must self isolate for 14 days",,Australia,"Aust Govt (Government, https://www.australia.gov.au"
106,economic stimulus,,2020-03-20,Australian banks to defer loan repayments for small businesses affected by COVID-19 by 6 months. ,,Australia,"Aust Govt (Government, https://www.pm.gov.au/media/update-coronavirus-measures-0"
111,limited nonessential business closure,,2020-03-22,"Pubs, licensed clubs and hotels (excluding accommodation), places of worship, gyms, indoor sporting venues, cinemas, casinos to close from midday Monday, March 22 for at least 6 months",,Australia,"Aust Govt (Government, https://www.australia.gov.au"
113,risk communication,,2020-03-22,PM urged Australians to cancel all non-essential domestic travel.,,Australia,"SBS News (Media, https://www.sbs.com.au/news/states-to-shut-down-non-essential-services-victorian-school-holidays-brought-forward"
114,economic stimulus,,2020-03-22,"Government’s new $66 billion coronavirus stimulus to provide relief for small business, casuals and welfare recipients",,Australia,"SBS News (Media, https://www.sbs.com.au/news/government-s-66-billion-coronavirus-stimulus-to-provide-relief-for-small-business-casuals-and-welfare-recipients"
115,economic stimulus,,2020-03-22,"The Government is allowing individuals “in financial stress” by the Coronavirus to access up to $10,000 of their superannuation in 2019-20 and a further $10,000 in 2020-21.",,Australia,"Aust Treasury (Government, https://treasury.gov.au/coronavirus/households"
116,economic stimulus,,2020-03-22,"The Government is guaranteeing unsecured small business loans up to $AU250,000 for lenders providing credit to existing small business customers. This reform will help small businesses get access to credit quickly and efficiently.",,Australia,"Aust Treasury (Government, https://treasury.gov.au/coronavirus/business-investment"
118,limited nonessential business closure,,2020-03-25,"Nail salons, libraries, public pools, galleries, museums, youth centres, community halls, clubs, RSLs and yoga studios forced to close. Shopping centres, hairdressers and fitness boot camps ok to stay open",,Australia,"SBS News (Media, https://www.sbs.com.au/news/confused-about-the-new-coronavirus-measures-here-s-what-you-can-and-can-t-do"
120,risk communication,,2020-03-24,"Prime Minister Scott Morrison has urged Australians to stay home except for essential trips, ordering more businesses to close to stop people gathering. On Tuesday, Mr Morrison told Australians to only leave the house when ""it is absolutely necessary you go out"". He said Australians should continue working but it was ""strongly encouraged to work from home"".",,Australia,"SBS News (Media, https://www.sbs.com.au/news/scott-morrison-tells-australians-to-stay-home-unless-absolutely-necessary-to-go-out"
121,hospital specialisation - partial,,2020-03-25,Non-urgent elective surgeries in Australia's public and private hospitals will be banned from midnight in a bid to preserve the healthcare system to respond to the coronavirus pandemic.,,Australia,"ABC News (Media, https://www.abc.net.au/news/2020-03-25/coronavirus-covid-19-commission-scott-morrison-elective-surgery/12088522"
122,hospital specialisation - partial,,2020-03-25, doctors in specialist areas outside of critical care and the ICU are being told to be prepare for reassignment out of their normal areas in order to fight the virus in the coming months. This includes specialities such as physiotherapists being re-trained in critical care procedures and GPs being placed into special COVID-19 response teams.,,Australia,"ABC News (Media, https://www.abc.net.au/news/2020-03-25/coronavirus-covid-19-commission-scott-morrison-elective-surgery/12088522"
124,"domestic travel limitation, domestic traveller quarantine, domestic travel ban",,2020-03-24,"Travellers seeking entry into Tasmania face further restrictions with the government warning that those seeking to use the ferry service to enter the state will be turned away in most cases. Only essential travellers or Tasmanians returning home are allowed to use the TT-Line Bass Strait service, Premier Peter Gutwein announced on Tuesday.",,Australia,"SBS News (Media, https://www.sbs.com.au/news/queues-at-state-borders-as-new-restrictions-come-into-force"
